ds,kelurahan,yhat,yhat_lower,yhat_upper
2025-10-01,Balai-Balai,382.42842655752963,381.6626508566529,383.23069291371905
2025-11-01,Balai-Balai,382.03603932732204,381.17556741228566,382.95478852912646
2025-12-01,Balai-Balai,381.7564276635153,380.67943838366733,382.8805875131618
2026-01-01,Balai-Balai,382.28394168044673,380.69639405356884,383.77399737728405
2026-02-01,Balai-Balai,383.713119962887,381.5379323696908,385.85671362212196
2026-03-01,Balai-Balai,385.70384154809085,383.0596467082298,388.28615506490513
2026-04-01,Balai-Balai,386.73337602592505,383.46506005889864,390.28879656991694
2026-05-01,Balai-Balai,387.7130985150278,383.88831349434776,391.8649136644266
2026-06-01,Balai-Balai,388.47035849537156,383.7904167713436,393.4163593151653
2026-07-01,Balai-Balai,388.05877546350473,382.74768809385955,393.7713730768993
2026-08-01,Balai-Balai,387.44201051346965,381.35882135620193,393.98152351352235
2026-09-01,Balai-Balai,386.4446482540653,379.3633735201433,393.81325282102483
2026-10-01,Balai-Balai,385.5369349751739,377.68676770908206,393.57032192052884
2026-11-01,Balai-Balai,385.30905836005945,376.63605713974044,394.4348368926865
2026-12-01,Balai-Balai,384.80689792072576,375.07277706810345,395.0696995520666
2027-01-01,Balai-Balai,385.23140000126745,374.2903869135255,396.1545012783707
2027-02-01,Balai-Balai,386.6371941959631,374.6268998576501,398.77394842390663
2027-03-01,Balai-Balai,389.12731680820303,376.34546220828736,402.20000384385855
2027-04-01,Balai-Balai,389.8201069704478,375.53580057078216,404.3169910501226
2027-05-01,Balai-Balai,390.8142261080076,375.5395058045741,406.30116557464464
2027-06-01,Balai-Balai,391.5126499348622,375.2042881300045,408.08865714543424
2027-07-01,Balai-Balai,391.1260199851818,373.5928656749311,409.11737931336455
2027-08-01,Balai-Balai,390.4688281801283,371.68130634952513,409.4530091108907
2027-09-01,Balai-Balai,389.72258393603823,369.93632619765907,409.7121003248287
2027-10-01,Balai-Balai,388.6453698021537,367.21349032950377,410.3185649879997
2027-11-01,Balai-Balai,388.5796627467923,365.8042657438895,411.2218111944581
2027-12-01,Balai-Balai,387.85241002872687,363.48462921586224,411.72188164563374
2028-01-01,Balai-Balai,388.1780817539579,362.38856487783306,413.5521660644462
2028-02-01,Balai-Balai,389.56776905475846,362.4902396836541,415.9995816368261
2028-03-01,Balai-Balai,391.3247559578861,362.59577857319454,419.17311611129446
2028-04-01,Balai-Balai,393.0097831654235,362.4191397875758,422.31729835438813
2028-05-01,Balai-Balai,393.965841807549,361.86381669762903,424.5489425718664
2028-06-01,Balai-Balai,394.8436256537521,361.7432221255967,426.97713581072253
2028-07-01,Balai-Balai,394.3888623711855,359.54229767586526,428.0138937623468
2028-08-01,Balai-Balai,393.86245031557365,357.54125439299656,429.27309000560206
2028-09-01,Balai-Balai,392.35928798447685,353.9749157127513,429.15439047589484
2028-10-01,Balai-Balai,391.7827576806118,351.75033034113903,430.12241707550857
2028-11-01,Balai-Balai,391.2236079560183,349.64201396617113,431.7507293127727
2028-12-01,Balai-Balai,391.16373398644095,347.7551077541625,432.42025876578657
2029-01-01,Balai-Balai,391.79827873345147,346.09660418354974,434.8034100356245
2029-02-01,Balai-Balai,393.25818023186224,346.18822096791143,438.0727906334377
2029-03-01,Balai-Balai,394.7447569558656,345.6972489740685,440.4829188250589
2029-04-01,Balai-Balai,396.105128766214,344.7308613731317,443.4496505206139
2029-05-01,Balai-Balai,397.0722008874205,343.8509134792719,446.63677694492947
2029-06-01,Balai-Balai,397.8892750211295,342.2026776516921,448.96771593796956
2029-07-01,Balai-Balai,397.4549836105104,340.5339733170937,450.2812022278555
2029-08-01,Balai-Balai,396.88180372374126,337.6582874632381,452.316150013586
2029-09-01,Balai-Balai,395.63205325072516,334.2375272214103,452.62464943943394
2029-10-01,Balai-Balai,394.8912587343587,331.08793418536476,453.66789489255154
2029-11-01,Balai-Balai,394.49887150415265,327.66792336265735,455.3427807524709
2029-12-01,Balai-Balai,394.21925984034567,325.68507481494163,456.81527338694127
2030-01-01,Balai-Balai,394.74677385727585,324.73853183346256,459.8336476309253
2030-02-01,Balai-Balai,396.1759521397134,324.3519867871967,463.70865369254915
2030-03-01,Balai-Balai,398.1666737249212,322.9331546354582,468.2919131593804
2030-04-01,Balai-Balai,399.1962082027545,323.09320398782006,470.44716871994746
2030-05-01,Balai-Balai,400.1759306918566,321.22091745391543,474.6086987435194
2030-06-01,Balai-Balai,400.9331906722014,320.3589385766372,478.33395000420217
2030-07-01,Balai-Balai,400.5216076403325,318.0649788334539,479.3744318615303
2030-08-01,Balai-Balai,399.9048426902975,315.952546397514,480.60923803403057
2030-09-01,Balai-Balai,398.9074804308947,312.5405807146497,481.90376697254544
2019-01-01,Bukit Surungan,322.7756051103375,321.89806876379475,323.7735876684562
2019-02-01,Bukit Surungan,323.52668865526914,322.53926622276776,324.47231861238686
2019-03-01,Bukit Surungan,325.2403031919694,324.34687584213964,326.25362457902065
2019-04-01,Bukit Surungan,325.5478193707282,324.5860709228273,326.4576492316827
2019-05-01,Bukit Surungan,326.0117601787163,325.1063789779055,326.96955132234655
2019-06-01,Bukit Surungan,326.23640759183735,325.2820971501731,327.2280281977593
2019-07-01,Bukit Surungan,325.56797233254923,324.63513302327084,326.542591574312
2019-08-01,Bukit Surungan,325.6001384026088,324.6714432176314,326.56317963456803
2019-09-01,Bukit Surungan,324.9998192704755,324.1239455036529,325.9884890875971
2019-10-01,Bukit Surungan,323.92009645927055,322.95378843705214,324.88686860497677
2019-11-01,Bukit Surungan,322.6898104815763,321.71632964503004,323.6770555823849
2019-12-01,Bukit Surungan,321.57225520209846,320.58745946265265,322.5141828496376
2020-01-01,Bukit Surungan,321.5123971861708,320.5535251745191,322.4894809121901
2020-02-01,Bukit Surungan,321.5483699395498,320.6207968333282,322.40213896978554
2020-03-01,Bukit Surungan,321.8204243073329,320.80731876926734,322.7677744438642
2020-04-01,Bukit Surungan,322.5596626405023,321.5828815701609,323.56939668430886
2020-05-01,Bukit Surungan,322.8420651254425,321.9246744185965,323.7731979650975
2020-06-01,Bukit Surungan,322.95788250892787,322.0204590790929,323.93882258916636
2020-07-01,Bukit Surungan,322.7484228416022,321.78906884683676,323.6473718150206
2020-08-01,Bukit Surungan,322.2878906244429,321.2883727601201,323.2368841037829
2020-09-01,Bukit Surungan,321.0470953696712,320.02220545860433,322.0307401203897
2020-10-01,Bukit Surungan,319.5977577148927,318.6402609385263,320.5627755231658
2020-11-01,Bukit Surungan,318.84324146868914,317.87525877270934,319.8367544583373
2020-12-01,Bukit Surungan,318.7934631432056,317.8801525011071,319.7318296911993
2021-01-01,Bukit Surungan,319.3680258331804,318.42808405920516,320.3350255875422
2021-02-01,Bukit Surungan,320.0440691026041,319.0538123852154,320.96049942215353
2021-03-01,Bukit Surungan,320.2872748803552,319.31920776785535,321.2392962608484
2021-04-01,Bukit Surungan,321.0739838680351,320.1265211963423,322.0710114229098
2021-05-01,Bukit Surungan,321.27685413942635,320.35596624660354,322.2309920579363
2021-06-01,Bukit Surungan,321.2391721861172,320.26919800711613,322.2214608881026
2021-07-01,Bukit Surungan,320.68779396815773,319.7538654436637,321.6505704296187
2021-08-01,Bukit Surungan,320.19549308874525,319.2708178253694,321.14412462523944
2021-09-01,Bukit Surungan,318.97730019194637,318.0574204506804,319.94303771581895
2021-10-01,Bukit Surungan,317.5524041181333,316.6543316718153,318.4802183029945
2021-11-01,Bukit Surungan,317.1207149118851,316.184313132159,318.03023153242816
2021-12-01,Bukit Surungan,317.3034597295662,316.39041942719774,318.30311777930876
2022-01-01,Bukit Surungan,318.3309268442641,317.42187186508335,319.22987918781047
2022-02-01,Bukit Surungan,319.4533209651648,318.5523122783017,320.3668400400361
2022-03-01,Bukit Surungan,320.80798527124904,319.8414650696622,321.7889525227079
2022-04-01,Bukit Surungan,321.77508566949865,320.835309874961,322.6773144530423
2022-05-01,Bukit Surungan,322.51063934137585,321.54933508318794,323.47239123904353
2022-06-01,Bukit Surungan,323.04484612174895,322.1689084101686,323.99139540037834
2022-07-01,Bukit Surungan,322.85876421851196,321.8786912197167,323.7491907488869
2022-08-01,Bukit Surungan,323.0653501352609,322.10550037019163,323.96301329737975
2022-09-01,Bukit Surungan,321.95743743152207,321.0751772776542,322.90589207333664
2022-10-01,Bukit Surungan,320.63516300920116,319.65867181889047,321.5816950135045
2022-11-01,Bukit Surungan,319.4397558116507,318.45337781622743,320.4078947676928
2022-12-01,Bukit Surungan,318.8093646231694,317.82282515100223,319.7487754574627
2023-01-01,Bukit Surungan,319.1228422995763,318.19981299107127,320.0902093549026
2023-02-01,Bukit Surungan,319.529426115804,318.6250442962082,320.4763558100497
2023-03-01,Bukit Surungan,320.9318796072264,320.0030061591318,321.85107016298105
2023-04-01,Bukit Surungan,320.947391631204,320.01537302842786,321.97470835894813
2023-05-01,Bukit Surungan,321.12874629393764,320.1956918356936,322.03585825806147
2023-06-01,Bukit Surungan,321.0613880236282,320.1455669136837,321.9841899482794
2023-07-01,Bukit Surungan,321.03792449587127,320.0835487226922,321.98990620971387
2023-08-01,Bukit Surungan,321.7365613551787,320.7555981429714,322.6869224706812
2023-09-01,Bukit Surungan,321.8025584320463,320.8589615515323,322.8052868064547
2023-10-01,Bukit Surungan,321.6056025827227,320.6232494584696,322.5890562708701
2023-11-01,Bukit Surungan,321.2875091323091,320.34575028994846,322.337628905166
2023-12-01,Bukit Surungan,320.36515981939874,319.45829839862273,321.36233279546104
2024-01-01,Bukit Surungan,320.50701463558835,319.6270348047649,321.48381926577633
2024-02-01,Bukit Surungan,320.7446999079593,319.775275831068,321.7806792800227
2024-03-01,Bukit Surungan,321.20539180734966,320.2160331660677,322.0957074179334
2024-04-01,Bukit Surungan,322.1462771570703,321.1952595660903,323.0946957795202
2024-05-01,Bukit Surungan,322.45735543528485,321.5197559949675,323.4236933160205
2024-06-01,Bukit Surungan,322.60280447182106,321.6589918397495,323.62841533942037
2024-07-01,Bukit Surungan,322.42202059777213,321.4450465829846,323.3966151219107
2024-08-01,Bukit Surungan,321.99082459191925,321.04149692722865,322.996850435592
2024-09-01,Bukit Surungan,320.7793655484563,319.86580275607594,321.6805886985696
2024-10-01,Bukit Surungan,319.35841979192986,318.41907343423577,320.2693241944518
2024-11-01,Bukit Surungan,318.63324184059195,317.6612008773675,319.5574577471798
2024-12-01,Bukit Surungan,318.61185541336306,317.62901613725825,319.57299666017565
2025-01-01,Bukit Surungan,319.30612420918743,318.32098121048665,320.2722136382213
2025-02-01,Bukit Surungan,320.1018735844586,319.13042739888,321.06238345457535
2025-03-01,Bukit Surungan,320.45522814542545,319.5166566961734,321.38966897034777
2025-04-01,Bukit Surungan,321.363887571662,320.3908728179949,322.30108979793334
2025-05-01,Bukit Surungan,321.68477439649354,320.70141875751,322.6291728471762
2025-06-01,Bukit Surungan,321.81673558516417,320.88401267392896,322.7254304859562
2025-07-01,Bukit Surungan,321.42952814976405,320.5461940870636,322.42452119716137
2025-08-01,Bukit Surungan,321.1057400764471,320.13851557637366,322.02995583570623
2025-09-01,Bukit Surungan,320.0560599857407,319.1157924888642,321.0132953731424
2025-10-01,Bukit Surungan,318.7942408210515,317.8993405283674,319.7807201173889
2025-11-01,Bukit Surungan,317.9473312488513,316.8867997015587,318.94898460045385
2025-12-01,Bukit Surungan,317.7282499059362,316.6272692927205,318.93242375275196
2026-01-01,Bukit Surungan,318.3404963723676,316.9642128168084,319.7794487163677
2026-02-01,Bukit Surungan,319.04766984499764,317.4335600497777,320.9168740643109
2026-03-01,Bukit Surungan,320.0272961461944,317.9398847811647,322.45254502657673
2026-04-01,Bukit Surungan,320.57728628394585,317.94845785777704,323.5131631666745
2026-05-01,Bukit Surungan,320.9091848650163,317.81827637879485,324.30729072169555
2026-06-01,Bukit Surungan,321.02628100614135,317.49346235981415,325.36684225216294
2026-07-01,Bukit Surungan,320.43654364556835,316.2698327260897,325.26818854746404
2026-08-01,Bukit Surungan,320.2260189230678,315.0891840365126,325.9432025723552
2026-09-01,Bukit Surungan,319.33890433393134,313.9451818110086,325.8850523538247
2026-10-01,Bukit Surungan,318.23030550638657,311.91791107406675,325.5879532140542
2026-11-01,Bukit Surungan,317.255697497911,310.2972089215342,325.6691789492487
2026-12-01,Bukit Surungan,316.83898294401644,309.11475260680555,326.45904114410376
2027-01-01,Bukit Surungan,317.373259809497,308.8269131960569,327.4135181196758
2027-02-01,Bukit Surungan,318.0006394651845,308.7413932611895,328.7445149373758
2027-03-01,Bukit Surungan,319.6025214567632,309.38526364339924,331.5452608884037
2027-04-01,Bukit Surungan,319.78633374627196,308.86053322330525,332.60410074092994
2027-05-01,Bukit Surungan,320.13055963371676,308.09774675526785,333.6777827122819
2027-06-01,Bukit Surungan,320.23150162894405,307.3814352915076,335.2088984399142
2027-07-01,Bukit Surungan,319.44335124272993,305.7417268692729,335.21997930691015
2027-08-01,Bukit Surungan,319.3518116816337,304.67714003041016,336.265726827421
2027-09-01,Bukit Surungan,318.62778691834217,303.1997584205032,337.02734414097677
2027-10-01,Bukit Surungan,317.6662938043492,300.9106227989992,336.90565557470507
2027-11-01,Bukit Surungan,316.55817851377856,298.80456707735,337.2903373446231
2027-12-01,Bukit Surungan,315.94420865040206,296.9757008152881,337.4772743713654
2028-01-01,Bukit Surungan,316.40472223111124,296.4901775829633,339.59598103238443
2028-02-01,Bukit Surungan,316.96106658112575,295.7395328408396,341.07540168156316
2028-03-01,Bukit Surungan,317.71985890798885,295.5904968001604,342.9466204840006
2028-04-01,Bukit Surungan,318.9794033353467,295.2953626966959,345.6666667575788
2028-05-01,Bukit Surungan,319.29048161356263,294.47816589722794,346.9820263031938
2028-06-01,Bukit Surungan,319.4359306500979,293.5319379109415,348.80699886567254
2028-07-01,Bukit Surungan,319.25514677604957,292.58117126173215,349.33802137298335
2028-08-01,Bukit Surungan,318.8239507701964,290.95099486491523,350.5339148099375
2028-09-01,Bukit Surungan,317.61249172673433,288.2463835049136,350.3480961089086
2028-10-01,Bukit Surungan,316.1915459702052,285.8325918595567,350.73270983473884
2028-11-01,Bukit Surungan,315.46636801887155,283.4190785451818,351.40736761940207
2028-12-01,Bukit Surungan,315.444981591641,282.7337414727267,352.2922228756684
2029-01-01,Bukit Surungan,316.1392503874639,281.75064091094066,354.00594605009826
2029-02-01,Bukit Surungan,316.93499976273733,281.2724779108949,356.5883905543734
2029-03-01,Bukit Surungan,317.28835432369897,280.10945236123183,360.1533617103803
2029-04-01,Bukit Surungan,318.197013749938,279.1259572710253,361.4336623503778
2029-05-01,Bukit Surungan,318.51790057477126,278.158902351477,362.88045806749295
2029-06-01,Bukit Surungan,318.6498617634413,276.56955083897384,364.4235401101769
2029-07-01,Bukit Surungan,318.2626543280438,274.7526756289514,365.38318336218583
2029-08-01,Bukit Surungan,317.93886625472516,273.08471329371923,366.29650805951866
2029-09-01,Bukit Surungan,316.889186164018,270.2927678044613,366.71362585660347
2029-10-01,Bukit Surungan,315.62736699932907,267.14428831732755,367.5130479278865
2029-11-01,Bukit Surungan,314.78045742713005,264.7487648029645,368.2624383608803
2029-12-01,Bukit Surungan,314.5613760842153,263.3716787484378,369.53496792133524
2030-01-01,Bukit Surungan,315.17362255064506,262.4511118552093,371.2174744348141
2030-02-01,Bukit Surungan,315.88079602327264,261.2475054343761,373.3669596102983
2030-03-01,Bukit Surungan,316.86042232447323,260.21011534193866,377.1952213158822
2030-04-01,Bukit Surungan,317.4104124622236,259.36422249008103,378.08397257029213
2030-05-01,Bukit Surungan,317.7423110432932,257.39180698846667,381.4342953889889
2030-06-01,Bukit Surungan,317.85940718441844,255.34429758336546,383.22677207387164
2030-07-01,Bukit Surungan,317.26966982384346,252.96814962331163,383.43627918711246
2030-08-01,Bukit Surungan,317.059145101344,250.93666751305048,384.69150816282666
2030-09-01,Bukit Surungan,316.1720305122089,247.8472713932776,385.45755885518946
2019-01-01,Ekor Lubuk,337.9929181271269,337.22666060818716,338.7438601738342
2019-02-01,Ekor Lubuk,339.5837707228411,338.82105847400265,340.32879137443183
2019-03-01,Ekor Lubuk,341.0987635100123,340.34941435231696,341.85997767823767
2019-04-01,Ekor Lubuk,342.15978048775446,341.43161358444735,342.8814457006157
2019-05-01,Ekor Lubuk,343.4119678166396,342.6532588786101,344.1877494831404
2019-06-01,Ekor Lubuk,343.17764069902694,342.44237993913936,343.9051871061574
2019-07-01,Ekor Lubuk,342.6221573470987,341.90391269484,343.4286175887126
2019-08-01,Ekor Lubuk,341.95897903307645,341.20716757852864,342.71198831620245
2019-09-01,Ekor Lubuk,340.6059261906282,339.78811679915833,341.3567033797177
2019-10-01,Ekor Lubuk,339.9607953410732,339.1739608375146,340.7123303128115
2019-11-01,Ekor Lubuk,339.1891519710292,338.4645430930204,339.93399727946036
2019-12-01,Ekor Lubuk,340.4248856666283,339.65510684400954,341.19048618872307
2020-01-01,Ekor Lubuk,341.2469390978126,340.48885897948213,342.0324814912977
2020-02-01,Ekor Lubuk,342.9721766750405,342.2326568681976,343.7054994741457
2020-03-01,Ekor Lubuk,345.3072154558207,344.5792668235924,346.00012599644714
2020-04-01,Ekor Lubuk,346.5031963601449,345.7358131742802,347.2238273955722
2020-05-01,Ekor Lubuk,348.1131808034669,347.32484752178954,348.8387382780925
2020-06-01,Ekor Lubuk,347.99553765479834,347.2565915585852,348.6905693654053
2020-07-01,Ekor Lubuk,347.9967539453231,347.2852372946562,348.7395497375579
2020-08-01,Ekor Lubuk,348.5881829139181,347.8576083296897,349.31632519319237
2020-09-01,Ekor Lubuk,348.85014930749145,348.0477575120793,349.5645215783374
2020-10-01,Ekor Lubuk,348.58902937610276,347.8175525398932,349.3517452813154
2020-11-01,Ekor Lubuk,347.89454477762877,347.1645748944703,348.6559458886399
2020-12-01,Ekor Lubuk,347.33776221948875,346.5300694324171,348.1197630394769
2021-01-01,Ekor Lubuk,349.4175671666895,348.7272046591032,350.16674323906284
2021-02-01,Ekor Lubuk,351.28773672432294,350.5510011262697,352.0344876069027
2021-03-01,Ekor Lubuk,353.0908550480989,352.3747648189597,353.7551588240166
2021-04-01,Ekor Lubuk,354.16556103959175,353.43618068079473,354.911798898433
2021-05-01,Ekor Lubuk,355.7523744835335,355.0335662185544,356.50204510992296
2021-06-01,Ekor Lubuk,355.25505291523956,354.4338253618174,355.98271028800116
2021-07-01,Ekor Lubuk,354.7490732996437,354.0088410014338,355.5157491163772
2021-08-01,Ekor Lubuk,354.6853688834001,353.92821216403865,355.4175293484702
2021-09-01,Ekor Lubuk,354.1606301329378,353.43394466680473,354.9800086687891
2021-10-01,Ekor Lubuk,353.5250023384185,352.74985936496074,354.2548348527464
2021-11-01,Ekor Lubuk,353.1061078436666,352.36226135126,353.7900382964077
2021-12-01,Ekor Lubuk,353.21175387329606,352.4123961628377,354.0261380996219
2022-01-01,Ekor Lubuk,354.93930649908975,354.16229825835296,355.6697263882032
2022-02-01,Ekor Lubuk,356.8148871798064,356.09545773550326,357.6386422913192
2022-03-01,Ekor Lubuk,358.6034120095465,357.86152621690127,359.3444324209714
2022-04-01,Ekor Lubuk,358.6866856855899,357.8651079767975,359.4637493573836
2022-05-01,Ekor Lubuk,359.4070948307642,358.65010990011086,360.14975469917783
2022-06-01,Ekor Lubuk,358.5441969303485,357.777532815663,359.29987902350945
2022-07-01,Ekor Lubuk,357.5374261713006,356.79253973000914,358.2815388454176
2022-08-01,Ekor Lubuk,356.6803027949546,355.9541935593971,357.428235424391
2022-09-01,Ekor Lubuk,355.7803130895837,355.04608444910457,356.50754210142634
2022-10-01,Ekor Lubuk,355.17444708826434,354.3353625438025,355.9115524621247
2022-11-01,Ekor Lubuk,354.3451083315933,353.58608119920024,355.0799159847336
2022-12-01,Ekor Lubuk,354.4326281067175,353.71414507180555,355.1931216549508
2023-01-01,Ekor Lubuk,355.1044641187293,354.3365964507516,355.86864647045144
2023-02-01,Ekor Lubuk,356.87830025455185,356.13710027331,357.63101746043174
2023-03-01,Ekor Lubuk,358.5585684973058,357.8547235105986,359.3670344938545
2023-04-01,Ekor Lubuk,359.80256901561364,359.09482477211986,360.62095238933193
2023-05-01,Ekor Lubuk,361.73737489108686,361.0997485298333,362.5090761910154
2023-06-01,Ekor Lubuk,362.20842027161643,361.4884402776787,362.9667316941896
2023-07-01,Ekor Lubuk,361.8312815869481,361.09660477760497,362.59707268923177
2023-08-01,Ekor Lubuk,361.35239276242817,360.62322129505156,362.1098088540252
2023-09-01,Ekor Lubuk,360.1836294148606,359.41349445980416,360.95702493015455
2023-10-01,Ekor Lubuk,359.7168432295141,358.9982900123289,360.4372879348913
2023-11-01,Ekor Lubuk,359.1294893458118,358.3534056556194,359.8554674687058
2023-12-01,Ekor Lubuk,360.39129983001584,359.7054343492702,361.170601267141
2024-01-01,Ekor Lubuk,361.2402992760993,360.4552804664119,362.037906708623
2024-02-01,Ekor Lubuk,363.59703403629067,362.8594921838476,364.32981613894043
2024-03-01,Ekor Lubuk,366.5219921407784,365.780974855303,367.3560790935391
2024-04-01,Ekor Lubuk,368.3485764600964,367.5824103368464,369.11381767252135
2024-05-01,Ekor Lubuk,369.0330104738141,368.31135653654985,369.74006852313306
2024-06-01,Ekor Lubuk,367.9589652145539,367.25650793782575,368.71664144906026
2024-07-01,Ekor Lubuk,367.0346310754719,366.29641458907673,367.73346214123785
2024-08-01,Ekor Lubuk,366.8177028552119,366.04040731276024,367.5368554006906
